#,Ethiopic,English,Transliteration,Incorrect 1,Incorrect 2,Incorrect 3,Notes
70,ስሕተት,Mistake,səḥtat,ሰሐተት,ሱሕታት,ስሕትት,
71,ስም,Name,səm,ሰም,ሰመ,ሲም,
72,ስብሐት,Glory,səbḥat,ሰብሐት,ሲብሒት,ሰበሐተ,
73,ስብከት,Preaching,səbkat,ሰበከት,ሲብኪት,ስባክት,
74,ቀዳሚ,First,qadāmi,ቅድምይ,ቀደሚ,ቆዳሚ,
75,ቃል,Word,qāl,ቀል,ቃላ,ቀል,
76,ቅዱስ,Saint,qəddus,ቅድውስ,ቀዱስ,ቀደስ,
77,ቆም,Height,qom,ቅውም,ቆመ,ቆሞ,
78,በረከት,Blessing,barakat,ብርክት,ባርካት,ብርኩት,
79,ባህል,Speech,bāhəl,ብህል,በሂል,ቡህል,
80,ቤት,House,bet,ባት,ብቴ,ቢት,
81,ቤዛ,Redemption,beza,በዘ,ቢዛ,ቤዝ,
82,ብሔር,Region,bḥer,በሐር,ቤሕር,ብሕሬ,
83,ብሩር,Silver,bərur,በርር,ቡሩር,ብርር,
84,ብርሃን,Light,bərhān,በርሀን,ቢርሃን,ብረሃን,
85,ብእሲ,Man,bəʾsi,በእሴ,ቤእሲ,በአሲ,
86,ብእሲት,Woman,bəʾsit,በእሴት,ቤእሲት,በአሲት,
87,ብካይ,Lamentation,bəkay,በከይ,ቢካይ,ብክይ,
88,ብፅዕ,Honor,bəṣ́ʾ,በፁዕ,በፀዐ,ቢፁዕ,
89,ተስፋ,Hope,tasfā,ትስፍ,ታስፍ,ቴስፋ,
90,ተክል,Plant,takl,ትክል,ታክል,ትክል,
91,ትልው,Follower,tələw,ተለው,ቲሊው,ትለው,
92,ትሕትና,Humility,təḥtənnā,ተሐተና,ትሕትነ,ትሒትና,
93,ትርጓሜ,Translation,tərgwāme,ተርጉም,ትርጒሜ,ታርጐሜ,
94,ትስምርት,Fertility,təsmərt,ተሰመረት,ትስማርት,ተስሚርት,
95,ትንሣኤ,Ascent,tənśāʾe,ትንሥእ,ታንሣእ,ቲንሣኤ,
96,ትእዛዝ,Command,təʾzāz,ተእዛዝ,ተአዘዝ,ቲአዛዝ,
97,ትውክልት,Trust,təwkəlt,ተወከልት,ትዋከለት,ታወከልት,
98,ኀይል,Power,ḫayl,ኀየለ,ኀዪል,ኃይል,
99,ኀጢአት,Sin,ḫaṭiʾat,ኅጥእት,ኃጢአት,ኅጡእት,
100,ኀጺን,Iron,ḫaṣin,ኀጸን,ኅጺን,ኀጸን,
101,ኄር,Good,ḫer,ኆር,ኂር,ኀረ,
102,ነቢይ,Prophet,nabiy,ንቢይ,ንቤይ,ነበይ,
103,ነፍስ,Soul,nafs,ንፍስ,ነፈስ,ኒፋስ,
104,ንባብ,Eloquent,nəbāb,ኒበብ,ነበብ,ንብብ,
105,ንዋም,Sleep,nəwām,ንውም,ነዋም,ኖውም,
106,ንጉሥ,King,neguś,ነጎሥ,ነጉሥ,ንግሥ,
107,ንግሥት,Queen,negeśt,ነገሥት,ንጌሥት,ኒጊሥት,
108,አመላክ,Deity,ʾamlāk,እምላክ,አምለክ,አመላክ,
109,አብ,Father,ʾab,ኦብ,አበ,እብ,
110,አእምሮት,Knowledge,ʾaʾmərot,አአምሮት,አእመሩት,እእምርት,
111,አውስቦ,Marriage,ʾawsəbo,ኦስብ,አወሰብ,እውስብ,
112,አጋንንት,Demons,ʾagānənt,አገነንት,እግናንት,አግንንታ,
113,አፍ,Mouth,ʾaf,ኦፍ,አፈ,እፍ,
114,ኢየሩሳሌም,Jerusalem,ʾiyarusālem,ኢያሩሶሌም,ኢዮሮሳለም,እዮሩስኢም,
115,እም,Mother,əmm,አም,እመ,ኦም,
116,እሳት,Fire,əssāt,አሳት,አሰት,እሶት,
117,እብን,Stone,ʾəbn,አበን,እባን,እበን,
118,እኀው,Brethren,ʾaḫaw,አኀው,እኂው,አኃው,
119,እክል,Food,ʾəkl,አካል,አከል,እከል,
120,እደው,Hands,ʾədaw,አድው,እደወ,አዳው,
121,እግዚእ,Lord,ʾəgziʾ,አግዚእ,አግዜእ,እግዝእ,
122,እግዝእት,Lady,ʾəgzəʾt,እግዚእት,አግዜእት,አግዚእት,
123,ኪዳን,Testament,kidān,ክዳን,ኪደን,ከደነ,
124,ክሕደት,Rebellion,kəḥdat,ክሕድት,ከሐደት,ኮሕዶት,
125,ክርስቲያን,Christian,krəstiyān,ክርስቱያን,ክረስትያን,ከረሰተያን,
126,ክብር,Glory,kəbr,ከብረ,ካብራ,ክበር,
127,ኮከብ,Star,kokab,ኩከብ,ክክብ,ኮኮብ,
128,ወልድ,Child,wald,ውልድ,ወለድ,ውላድ,
129,ወርቅ,Gold,warq,ውርቅ,ዋርቅ,ወረቅ,
130,ወርኅ,Moon,warḫ,ወረኀ,ወራኅ,ውርኅ,
131,ወንጌል,Gospel,wangel,ወንገል,ዋንጋል,ውነገል,
132,ውላጤ,Change,wəllaṭe,ውልጥ,ወላጢ,ውልጢ,
133,ውሳጤ,Interior,wəsāṭe,ውሰጥ,ወሳጢ,ዊሳጤ,
134,ዐርብ,West,ʿarb,ዓርብ,ዕራብ,ዓረብ,
135,ዐቃቢ,Guardian,ʿaqqābi,ዐቀቤ,ዐቅቢ,ዕቅብ,
136,ዐቢይ,Great,ʿabiy,ዓብይ,ዐቤይ,ዐቢያ,
137,ዐዚዝ,Mighty,ʿazīz,ዕዛዝ,ዓዚዝ,ዕዜዝ,
138,ዓለም,World,ʿālam,ዐለም,ዕላም,ዕልም,
139,ዕፀው,Woods,ʿəṣ́aw,ዕፃው,ዓፅወ,ዐፀው,
140,ዘመን,Era,zaman,ዝምን,ዛማን,ዚምን,
141,ዘመድ,Family,zamad,ዝምድ,ዛማድ,ዙምድ,
142,ዘርእ,Seed,zarʾ,ዘረአ,ዛርእ,ዝሪእ,
143,ዘይት,Olive,zayt,ዝይት,ዛየት,ዝያት,
144,ዝናም,Rain,zənām,ዛናም,ዝነም,ዘነም,
145,ዝክር,Memory,zəkr,ዘከር,ዛክር,ዝከር,
146,ይእዜ,Now,yəʾəze,ያአዚ,ያእዜ,የአዜ,
147,ደም,Blood,dam,ድም,ደሞ,ደመ,
148,ደብር,Mountain,dabr,ድብር,ዳብር,ድባር,
149,ድቀት,Befalling,dəqat,ዳቃት,ድቅት,ዱቀት,
150,ድንጋፄ,Terror,dangāṣe,ዳንገፅ,ድንግፃ,ደንገፀ,
151,ድካም,Weakness,dəkām,ድክም,ዳካም,ዱካም,
152,ገብር,Servant,gabr,ግብር,ግባር,ጋባር,
153,ገነት,Garden,gannat,ጋንት,ግናት,ግንት,
154,ገጽ,Face,gaṣṣ,ግጽ,ገጻ,ጊጽ,
155,ጊዜ,Time,gize,ጎዜ,ገዘ,ጊዛ,
156,ግርማ,Majesty,gərmā,ጊርማ,ግርም,ጋራም,
157,ጥምቀት,Baptism,ṭəmqat,ጠምቅት,ጠምቀት,ጥምቃት,
158,ጥበብ,Wisdom,ṭəbab,ጠባብ,ጥባብ,ጠበብ,
159,ጥዕም,Taste,ṭəʿm,ጠዖም,ጥዑም,ጠዐም,
160,ጸሎት,Prayer,ṣalot,ጻሎት,ጽሉት,ጸለት,
161,ጸሓፊ,Scribe,ṣaḥāfi,ጽሕፍ,ጸሐፊ,ጽሓፊ,
162,ጸጋ,Favor,ṣaggā,ጻጋ,ጽገ,ጺግ,
163,ጽባሕ,East,ṣəbāḥ,ጸባሕ,ጻባሕ,ጽብሕ,
164,ጽድቅ,Justice,ṣədq,ጻድቅ,ጸደቅ,ጻድቅ,
165,ጽጌ,Flower,ṣəge,ጸገ,ጸጋ,ጸግ,
166,ፀሓይ,Sun,ṣ́aḥāy,ፀሕየ,ፀሐይ,ፀሕያ,
167,ፀር,Enemy,ṣ́ar,ፅር,ፀረ,ፃር,
168,ፈቃድ,Will,faqād,ፍቅድ,ፈቀደ,ፉቃድ,
169,ፈጣሪ,Creator,faṭāri,ፍጣሪ,ፈጠረ,ፍጥሪ,
170,ፍሥሓ,Joy,fəśśəḥā,ፍሥሕ,ፋሳሓ,ፊስሕ,
171,ፍርሀት,Fear,fərhat,ፋርሃት,ፈረሀት,ፍርሃት,
172,ፍቅር,Love,fəqr,ፍቃር,ፋቅር,ፈቀር,
173,ፍኖት,Way,fənot,ፋኖት,ፈነት,ፍናት,
